	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	Taxid_domain	SpeciesName	Cultured	Isolated	Collection
GCF_000284435.1	PRJNA224116	SAMD00016606		na	1041809	49118.0	Candidatus Arthromitus sp. SFB-mouse-Yit	strain=SFB-mouse-Yit		latest	Complete Genome	Major	Full	2011/09/15	ASM28443v1	Center for Omics and Bioinformatics, Graduate School of Frontier Sciences, University of Tokyo	GCA_000284435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/435/GCF_000284435.1_ASM28443v1			2.0		True	True	
GCF_000321945.1	PRJNA224116	SAMN00779818	AHXG00000000.1	na	1138905	1352.0	Enterococcus faecium EnGen0032	strain=E1622		latest	Scaffold	Major	Full	2013/03/21	Ente_faec_E1622_V1	Broad Institute	GCA_000321945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/321/945/GCF_000321945.1_Ente_faec_E1622_V1			2.0		True	True	
GCF_000364165.1	PRJNA224116	SAMN01731003	AQFQ00000000.1	na	97138	97138.0	Clostridium sp. ASF356	strain=ASF356		latest	Scaffold	Major	Full	2013/04/12	Clos_bact_ASF356_V1	Broad Institute	GCA_000364165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/165/GCF_000364165.1_Clos_bact_ASF356_V1			2.0		True	True	
GCF_000364185.1	PRJNA224116	SAMN01731004	AQFR00000000.1	na	97137	97137.0	Lactobacillus sp. ASF360	strain=ASF360		latest	Scaffold	Major	Full	2013/04/12	Lact_bact_ASF360_V1	Broad Institute	GCA_000364185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/185/GCF_000364185.1_Lact_bact_ASF360_V1			2.0		True	True	
GCF_000364205.1	PRJNA224116	SAMN01731005	AQFS00000000.1	na	1235801	1622.0	Lactobacillus murinus ASF361	strain=ASF361		latest	Scaffold	Major	Full	2013/04/12	Lact_muri_ASF361_V1	Broad Institute	GCA_000364205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/205/GCF_000364205.1_Lact_muri_ASF361_V1			2.0		True	True	
GCF_000364225.1	PRJNA224116	SAMN01731006	AQFT00000000.1	representative genome	1235802	97253.0	Eubacterium plexicaudatum ASF492	strain=ASF492		latest	Scaffold	Major	Full	2013/04/12	Euba_plex_ASF492_V1	Broad Institute	GCA_000364225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/225/GCF_000364225.1_Euba_plex_ASF492_V1			2.0		True	True	
GCF_000364245.1	PRJNA224116	SAMN01731007	AQFU00000000.1	na	2044587	2044587.0	Schaedlerella arabinosiphila	strain=ASF 502		latest	Scaffold	Major	Full	2013/04/12	Clos_bact_ASF502_V1	Broad Institute	GCA_000364245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/245/GCF_000364245.1_Clos_bact_ASF502_V1			2.0		True	True	
GCF_000364265.1	PRJNA224116	SAMN01731008	AQFV00000000.1	na	1235803	1235803.0	Parabacteroides sp. ASF519	strain=ASF519		latest	Scaffold	Major	Full	2013/04/12	Para_sp_ASF519_V1	Broad Institute	GCA_000364265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/265/GCF_000364265.1_Para_sp_ASF519_V1			2.0		True	True	
GCF_000364285.1	PRJNA224116	SAMN01731009	AQFW00000000.1	na	1235804	37372.0	Helicobacter bilis WiWa	strain=WiWa		latest	Scaffold	Major	Full	2013/04/12	Heli_bili_WiWa_V1	Broad Institute	GCA_000364285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/285/GCF_000364285.1_Heli_bili_WiWa_V1			2.0		True	True	
GCF_000364305.1	PRJNA224116	SAMN01731010	AQFX00000000.1	na	1235805	562.0	Escherichia coli SWW33	strain=SWW33		latest	Scaffold	Major	Full	2013/04/12	Esch_coli_SWW33_V1	Broad Institute	GCA_000364305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/305/GCF_000364305.1_Esch_coli_SWW33_V1			2.0		True	True	
GCF_000379905.1	PRJNA224116	SAMN02256441	ARBW00000000.1	representative genome	1122936	758.0	Rodentibacter pneumotropicus DSM 21403	strain=DSM 21403		latest	Scaffold	Major	Full	2013/04/23	ASM37990v1	DOE Joint Genome Institute	GCA_000379905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/379/905/GCF_000379905.1_ASM37990v1		assembly from type material	2.0		True	True	
GCF_000403155.2	PRJNA224116	SAMN01730983	ASSM00000000.1	na	1235785	818.0	Bacteroides thetaiotaomicron dnLKV9	strain=dnLKV9		latest	Scaffold	Major	Full	2013/06/14	Bact_thet_dnLKV9_V1	Broad Institute	GCA_000403155.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/155/GCF_000403155.2_Bact_thet_dnLKV9_V1			2.0		True	True	
GCF_000403175.1	PRJNA224116	SAMN01730985	ASSO00000000.1	na	1235787	820.0	Bacteroides uniformis dnLKV2	strain=dnLKV2		latest	Scaffold	Major	Full	2013/06/14	Bact_unif_dnLKV2_V1	Broad Institute	GCA_000403175.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/175/GCF_000403175.1_Bact_unif_dnLKV2_V1			2.0		True	True	
GCF_000403195.1	PRJNA224116	SAMN01730986	ASSP00000000.1	representative genome	671267	671267.0	Bacteroides sartorii	strain=dnLKV3		latest	Scaffold	Major	Full	2013/06/14	Bact_mass_dnLKV3_V1	Broad Institute	GCA_000403195.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/195/GCF_000403195.1_Bact_mass_dnLKV3_V1			2.0		True	True	
GCF_000403215.1	PRJNA224116	SAMN01730988	ASSR00000000.1	na	397291	397291.0	Lachnospiraceae bacterium A4	strain=A4		latest	Scaffold	Major	Full	2013/06/14	Lach_bact_A4_V1	Broad Institute	GCA_000403215.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/215/GCF_000403215.1_Lach_bact_A4_V1			2.0		True	True	
GCF_000403235.1	PRJNA224116	SAMN01730984	ASSN00000000.1	na	1235786	821.0	Bacteroides vulgatus dnLKV7	strain=dnLKV7		latest	Scaffold	Major	Full	2013/06/14	Bact_vulg_dnLKV7_V1	Broad Institute	GCA_000403235.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/235/GCF_000403235.1_Bact_vulg_dnLKV7_V1			2.0		True	True	
GCF_000403255.1	PRJNA224116	SAMN01730990	ASST00000000.1	na	397288	397288.0	Lachnospiraceae bacterium 3-1	strain=3-1		latest	Scaffold	Major	Full	2013/06/14	Lach_bact_3-1_V1	Broad Institute	GCA_000403255.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/255/GCF_000403255.1_Lach_bact_3-1_V1			2.0		True	True	
GCF_000403275.1	PRJNA224116	SAMN01730991	ASSU00000000.1	na	397287	397287.0	Lachnospiraceae bacterium 28-4	strain=28-4		latest	Scaffold	Major	Full	2013/06/14	Lach_bact_28-4_V1	Broad Institute	GCA_000403275.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/275/GCF_000403275.1_Lach_bact_28-4_V1			2.0		True	True	
GCF_000403295.1	PRJNA224116	SAMN01730992	ASSV00000000.1	na	1235792	1235792.0	Lachnospiraceae bacterium M18-1	strain=M18-1		latest	Scaffold	Major	Full	2013/06/14	Lach_bact_M18-1_V1	Broad Institute	GCA_000403295.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/295/GCF_000403295.1_Lach_bact_M18-1_V1			2.0		True	True	
GCF_000403315.2	PRJNA224116	SAMN01730994	ASSX00000000.1	na	397290	397290.0	Lachnospiraceae bacterium A2	strain=A2		latest	Scaffold	Major	Full	2013/06/14	Lach_bact_A2_V1	Broad Institute	GCA_000403315.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/315/GCF_000403315.2_Lach_bact_A2_V1			2.0		True	True	
GCF_000403335.2	PRJNA224116	SAMN01730993	ASSW00000000.1	na	1235793	1235793.0	Lachnospiraceae bacterium MD335	strain=COE1		latest	Scaffold	Major	Full	2013/06/14	Lach_bact_COE1_V1	Broad Institute	GCA_000403335.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/335/GCF_000403335.2_Lach_bact_COE1_V1			2.0		True	True	
GCF_000403355.2	PRJNA224116	SAMN01730995	ASSY00000000.1	representative genome	1235794	671266.0	Enterorhabdus caecimuris B7	strain=B7		latest	Scaffold	Major	Full	2013/06/14	Ente_caec_B7_V1	Broad Institute	GCA_000403355.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/355/GCF_000403355.2_Ente_caec_B7_V1		assembly from type material	2.0		True	True	
GCF_000403375.2	PRJNA224116	SAMN01730996	ASSZ00000000.1	representative genome	1235795	343517.0	Paenibacillus barengoltzii G22	strain=G22		latest	Scaffold	Major	Full	2013/06/14	Paen_bare_G22_V1	Broad Institute	GCA_000403375.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/375/GCF_000403375.2_Paen_bare_G22_V1			2.0		True	True	
GCF_000403395.2	PRJNA224116	SAMN01730997	ASTA00000000.1	na	1235835	1235835.0	Anaerotruncus sp. G3(2012)	strain=G3		latest	Scaffold	Major	Full	2013/06/14	Anae_bact_G3_V1	Broad Institute	GCA_000403395.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/395/GCF_000403395.2_Anae_bact_G3_V1			2.0		True	True	
GCF_000403415.2	PRJNA224116	SAMN01730998	ASTB00000000.1	na	1235796	1235796.0	Firmicutes bacterium M10-2	strain=M10-2		latest	Scaffold	Major	Full	2013/06/14	Firm_bact_M10-2_V1	Broad Institute	GCA_000403415.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/415/GCF_000403415.2_Firm_bact_M10-2_V1			2.0		True	True	
GCF_000403435.2	PRJNA224116	SAMN01730999	ASTC00000000.1	na	1235797	1235797.0	Oscillibacter sp. 1-3	strain=1-3		latest	Scaffold	Major	Full	2013/06/14	Osci_bact_1-3_V1	Broad Institute	GCA_000403435.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/435/GCF_000403435.2_Osci_bact_1-3_V1			2.0		True	True	
GCF_000403455.2	PRJNA224116	SAMN01731000	ASTD00000000.1	na	1235798	1235798.0	Dorea sp. 5-2	strain=5-2		latest	Scaffold	Major	Full	2013/06/14	Dore_bact_5-2_V1	Broad Institute	GCA_000403455.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/455/GCF_000403455.2_Dore_bact_5-2_V1			2.0		True	True	
GCF_000403475.2	PRJNA224116	SAMN01731001	ASTE00000000.1	na	1235799	1235799.0	Lachnospiraceae bacterium MD308	strain=3-2		latest	Scaffold	Major	Full	2013/06/14	Lach_bact_3-2_V1	Broad Institute	GCA_000403475.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/475/GCF_000403475.2_Lach_bact_3-2_V1			2.0		True	True	
GCF_000403495.2	PRJNA224116	SAMN01731002	ASTF00000000.1	na	1235800	1235800.0	Lachnospiraceae bacterium 10-1	strain=10-1		latest	Scaffold	Major	Full	2013/06/14	Lach_bact_10-1_V1	Broad Institute	GCA_000403495.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/495/GCF_000403495.2_Lach_bact_10-1_V1			2.0		True	True	
GCF_000403825.2	PRJNA224116	SAMN01730987	ASSQ00000000.1	na	1235789	328812.0	Parabacteroides goldsteinii dnLKV18	strain=dnLKV18		latest	Scaffold	Major	Full	2013/06/14	Para_gold_dnLKV18_V1	Broad Institute	GCA_000403825.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/825/GCF_000403825.2_Para_gold_dnLKV18_V1			2.0		True	True	
GCF_000403845.2	PRJNA224116	SAMN01730989	ASSS00000000.1	na	1235790	1235790.0	Eubacterium sp. 14-2	strain=14-2		latest	Scaffold	Major	Full	2013/06/14	Euba_bact_14-2_V1	Broad Institute	GCA_000403845.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/845/GCF_000403845.2_Euba_bact_14-2_V1			2.0		True	True	
GCF_000416565.1	PRJNA224116	SAMN02415230	ATFA00000000.1	na	1346789	28901.0	Salmonella enterica subsp. salamae str. DMA-1	strain=DMA-1		latest	Scaffold	Major	Full	2013/07/01	Salmonella enterica subsp. salamae strain DMA-1	CSIR-IMTECH	GCA_000416565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/416/565/GCF_000416565.1_Salmonella_enterica_subsp._salamae_strain_DMA-1			2.0		True	True	
GCF_000417985.2	PRJNA224116	SAMN02470515	ATCW00000000.2	na	1344998	1282.0	Staphylococcus epidermidis CIM40	strain=CIM40		latest	Contig	Major	Full	2013/11/26	CIM40_v2	Max-Planck-Institute for Evolutionary Biology	GCA_000417985.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/417/985/GCF_000417985.2_CIM40_v2			2.0		True	True	
GCF_000418005.2	PRJNA224116	SAMN02470526	ATCZ00000000.2	na	1344995	1282.0	Staphylococcus epidermidis MC28	strain=MC28		latest	Contig	Major	Full	2013/11/26	MC28_v2	Max-Planck-Institute for Evolutionary Biology	GCA_000418005.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/005/GCF_000418005.2_MC28_v2			2.0		True	True	
GCF_000418105.2	PRJNA224116	SAMN02470522	ATDE00000000.2	na	1344990	1282.0	Staphylococcus epidermidis CIM37	strain=CIM37		latest	Contig	Major	Full	2013/11/21	CIM37_v2	Max-Planck-Institute for Evolutionary Biology	GCA_000418105.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/105/GCF_000418105.2_CIM37_v2			2.0		True	True	
GCF_000418125.2	PRJNA224116	SAMN02470523	ATDF00000000.2	na	1344989	1282.0	Staphylococcus epidermidis CIM28	strain=CIM28		latest	Scaffold	Major	Full	2013/11/07	CIM28_v2	Max-Planck-Institute for Evolutionary Biology	GCA_000418125.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/125/GCF_000418125.2_CIM28_v2			2.0		True	True	
GCF_000418145.2	PRJNA224116	SAMN02470528	ATDG00000000.2	na	1344988	1282.0	Staphylococcus epidermidis WI05	strain=WI05		latest	Scaffold	Major	Full	2013/11/26	WI05_v2	Max-Planck-Institute for Evolutionary Biology	GCA_000418145.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/145/GCF_000418145.2_WI05_v2			2.0		True	True	
GCF_000418185.2	PRJNA224116	SAMN02470521	ATCX00000000.2	na	1344997	1282.0	Staphylococcus epidermidis MC16	strain=MC16		latest	Contig	Major	Full	2013/11/27	MC16_v2	Max-Planck-Institute for Evolutionary Biology	GCA_000418185.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/185/GCF_000418185.2_MC16_v2			2.0		True	True	
GCF_000418205.2	PRJNA224116	SAMN02470516	ATCY00000000.2	na	1344996	1282.0	Staphylococcus epidermidis MC19	strain=MC19		latest	Contig	Major	Full	2013/11/27	MC19_v2	Max-Planck-Institute for Evolutionary Biology	GCA_000418205.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/205/GCF_000418205.2_MC19_v2			2.0		True	True	
GCF_000422625.1	PRJNA224116	SAMN02440648	AUGK00000000.1	representative genome	1121866	580026.0	Enterorhabdus mucosicola DSM 19490	strain=DSM 19490		latest	Scaffold	Major	Full	2013/07/11	ASM42262v1	DOE Joint Genome Institute	GCA_000422625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/625/GCF_000422625.1_ASM42262v1		assembly from type material	2.0		True	True	
GCF_000439295.2	PRJNA224116	SAMN02641597		na	1321941	210.0	Helicobacter pylori UM298	strain=UM298		latest	Complete Genome	Major	Full	2014/09/19	ASM43929v2	University of Malaya	GCA_000439295.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/295/GCF_000439295.2_ASM43929v2			2.0		True	True	
GCF_000445425.4	PRJNA224116	SAMN02604147		representative genome	1302858	47466.0	Borrelia miyamotoi LB-2001	strain=LB-2001		latest	Complete Genome	Major	Full	2015/11/04	ASM44542v4	University of California Irvine	GCA_000445425.4	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/425/GCF_000445425.4_ASM44542v4			2.0		True	True	
GCF_000467225.1	PRJNA224116	SAMN02469673	AURW00000000.1	na	1353979	1288.0	Staphylococcus xylosus DMB3-Bh1	strain=DMB3-Bh1		latest	Scaffold	Major	Full	2013/09/16	Staphylococcus xylosus strain DMB3-Bh1	CSIR-IMTECH	GCA_000467225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/467/225/GCF_000467225.1_Staphylococcus_xylosus_strain_DMB3-Bh1			2.0		True	True	
GCF_000471745.1	PRJNA224116	SAMD00003404	BAIG00000000.1	na	1232456	1232456.0	Lachnospiraceae bacterium VE202-23	strain=VE202-23		latest	Contig	Major	Full	2013/09/16	ASM47174v1	The University of Tokyo	GCA_000471745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/745/GCF_000471745.1_ASM47174v1			2.0		True	True	
GCF_000471765.1	PRJNA224116	SAMD00004029	BAIH00000000.1	na	1232459	1232459.0	Oscillospiraceae bacterium VE202-24	strain=VE202-24		latest	Contig	Major	Full	2013/09/16	ASM47176v1	The University of Tokyo	GCA_000471765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/765/GCF_000471765.1_ASM47176v1			2.0		True	True	
GCF_000471805.1	PRJNA224116	SAMD00003121	BAHY00000000.1	na	1232451	154046.0	Hungatella hathewayi VE202-11	strain=VE202-11		latest	Contig	Major	Full	2013/09/16	ASM47180v1	The University of Tokyo	GCA_000471805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/805/GCF_000471805.1_ASM47180v1			2.0		True	True	
GCF_000471825.1	PRJNA224116	SAMD00009047	BAHZ00000000.1	na	1232455	1232455.0	Lachnospiraceae bacterium VE202-12	strain=VE202-12		latest	Contig	Major	Full	2013/09/16	ASM47182v1	The University of Tokyo	GCA_000471825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/825/GCF_000471825.1_ASM47182v1			2.0		True	True	
GCF_000471845.1	PRJNA224116	SAMD00004073	BAHS00000000.1	na	1232441	29347.0	[Clostridium] scindens VE202-05	strain=VE202-05		latest	Contig	Major	Full	2013/09/16	ASM47184v1	The University of Tokyo	GCA_000471845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/845/GCF_000471845.1_ASM47184v1			2.0		True	True	
GCF_000508225.1	PRJNA224116	SAMN02641637		representative genome	1423892	35795.0	Ehrlichia muris AS145	strain=AS145		latest	Complete Genome	Major	Full	2013/12/16	ASM50822v1	University of Texas Medical Branch	GCA_000508225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/225/GCF_000508225.1_ASM50822v1		assembly from type material	2.0		True	True	
GCF_000508865.1	PRJNA224116	SAMD00013706	BAHP00000000.2	na	1232438	1232438.0	Clostridiales bacterium VE202-01	strain=VE202-01		latest	Contig	Major	Full	2013/07/16	ASM50886v1	The University of Tokyo	GCA_000508865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/865/GCF_000508865.1_ASM50886v1			2.0		True	True	
GCF_000508885.1	PRJNA224116	SAMD00003479	BAHQ00000000.2	na	1232439	1232439.0	Clostridiales bacterium VE202-03	strain=VE202-03		latest	Contig	Major	Full	2013/07/16	ASM50888v1	The University of Tokyo	GCA_000508885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/885/GCF_000508885.1_ASM50888v1			2.0		True	True	
GCF_000508925.1	PRJNA224116	SAMD00012241	BAHT00000000.2	na	1232442	1232442.0	Clostridiales bacterium VE202-06	strain=VE202-06		latest	Contig	Major	Full	2013/07/16	ASM50892v1	The University of Tokyo	GCA_000508925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/925/GCF_000508925.1_ASM50892v1			2.0		True	True	
GCF_000508945.1	PRJNA224116	SAMD00012186	BAHU00000000.2	na	1232448	1232448.0	Clostridiales bacterium VE202-07	strain=VE202-07		latest	Contig	Major	Full	2013/07/16	ASM50894v1	The University of Tokyo	GCA_000508945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/945/GCF_000508945.1_ASM50894v1			2.0		True	True	
GCF_000508965.1	PRJNA224116	SAMD00006264	BAHV00000000.2	na	1232449	1232449.0	Clostridiales bacterium VE202-08	strain=VE202-08		latest	Contig	Major	Full	2013/07/16	ASM50896v1	The University of Tokyo	GCA_000508965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/965/GCF_000508965.1_ASM50896v1			2.0		True	True	
GCF_000508985.1	PRJNA224116	SAMD00004028	BAHW00000000.2	na	1232447	1232447.0	Clostridiales bacterium VE202-09	strain=VE202-09		latest	Contig	Major	Full	2013/07/16	ASM50898v1	The University of Tokyo	GCA_000508985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/985/GCF_000508985.1_ASM50898v1			2.0		True	True	
